id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
138	16	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof tube damaged	0	1	0	1	Roadworthy if tube is operable and free of sharp edges	1	1
139	16	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof tube not secure	0	0	0	1	Not roadworthy secure roof tube	1	1
140	16	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof tube missing or stolen	0	1	0	1	Roadworthy but report immediately	1	1
141	17	Internal Racking Systems	Is the racking free from damage and sharp edges?	Is the racking free from damage and sharp edges?	Racking system bottom hinged doors damaged	0	1	0	1	Roadworthy if no risk of injury is evident to the driver	1	1
142	17	Internal Racking Systems	Is the racking free from damage and sharp edges?	Is the racking free from damage and sharp edges?	Racking system shelving damaged	0	1	0	1	Roadworthy if no risk of injury is evident to the driver	1	1
143	17	Internal Racking Systems	Is the racking free from damage and sharp edges?	Is the racking free from damage and sharp edges?	Racking system not secure	0	0	0	1	Not roadworthy secure before driving vehicle	1	1
144	17	Internal Racking Systems	Is the racking free from damage and sharp edges?	Is the racking free from damage and sharp edges?	Fuel storage not secure	0	0	0	1	Not roadworthy secure before driving vehicle	1	1
145	17	Internal Racking Systems	Is the racking free from damage and sharp edges?	Is the racking free from damage and sharp edges?	Oil storage not secure	0	0	0	1	Not roadworthy secure before driving vehicle	1	1
146	18	Spray Suppression	Is the spray suppression free from defects?	Is the spray suppression free from defects?	Insecure 	0	1	0	1	Not roadworthy vehicle must be VOR	1	0
147	18	Spray Suppression	Is the spray suppression free from defects?	Is the spray suppression free from defects?	Damaged	0	1	0	1	Not roadworthy vehicle must be VOR	1	0
148	18	Spray Suppression	Is the spray suppression free from defects?	Is the spray suppression free from defects?	Missing  	0	1	0	1	Not roadworthy vehicle must be VOR	1	0
149	19	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reflectors cracked	0	1	0	1	Roadworthy but obtain replacement	1	1
150	19	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reflectors damaged	0	1	0	1	Roadworthy but obtain replacement	1	1
151	19	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Marker lights cracked	0	1	0	1	Roadworthy if no white light evident through lens	1	1
